resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
1642402063068113,Iga Bakar WS,[ Indonesia ],False,-6.910886099999999,107.62735559999999," Jl. Taman Pramuka No. 189A, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (11:00 - 21:00),Tunai,yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402063967673,Batagor Soka,[ Indonesia ],False,-6.916047,107.627776," Area 28 Jl. Soka No. 28, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,3.0,4.0,4.0,4.0,Senin - Minggu (09:00 - 21:00),"Tunai,Go-pay",no,no,yes,no,no,yes,no,no,no,no,no
1642402066225544,Ali Baba,[ Arab/Timur Tengah ],False,-6.9069970000000005,107.620015," Hashtag Foodstation Jl. Lombok No. 47, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,3.3,3.5,3.0,4.0,3.0,3.0,"Senin - Sabtu (11:00 - 22:00), Minggu Tutup","Tunai,Visa,Master,Debet,Go-pay,Ovo",no,no,yes,no,no,yes,no,no,yes,no,no
1642402068231233,Sialah,,False,-6.906602,107.614448," Jl. LLRE Martadinata, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,not listed,Tunai,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no
1642402068961272,Eleven Kitchen,[ Barat ],False,-6.910259,107.62786000000001," Jl. Taman Pramuka No. 173, Riau, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.8,4.0,4.3,3.0,3.7,4.0,"Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402070879169,Amore Gelato & Coffee,[ Kafe ],False,-6.905911,107.617928," Jl. LLRE Martadinata No. 69A, Riau, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.7,3.5,3.5,3.5,4.0,4.0,"Senin - Sabtu (10:00 - 21:00), Minggu (10:00 - 19:00)","Tunai,Debet,Ovo",yes,no,yes,yes,no,yes,no,yes,no,no,no
1642402074089149,Maminge,[ Indonesia ],False,-6.916072,107.6278," Area 28 Jl. Soka No. 28, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,3.7,4.5,3.0,4.0,3.0,4.0,"Senin (10:00 - 22:00), Rabu - Minggu (10:00 - 22:00), Selasa Tutup",Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642402076095705,Pawon Mapah,[ Indonesia ],False,-6.9070375,107.6201153," Hashtag Foodstation Jl. Lombok No. 47, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (11:00 - 22:00), Sabtu - Minggu (11:00 - 23:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402076776508,Baso Tahu Kembar,[ Indonesia ],False,-6.905173,107.62250800000001," Teras Sunda Jl. Ciliwung No. 2, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (10:00 - 22:00),Tunai,not sure,no,yes,not sure,no,yes,no,not sure,yes,no,no
164240207749615,Sereh,[ Indonesia ],False,-6.909921000000001,107.627684," Jl. Taman Pramuka No. 171, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Kamis (08:00 - 22:00), Jumat - Sabtu (08:00 - 23:00), Minggu (08:00 - 22:00)","Tunai, Debet, Visa, Master",yes,no,yes,yes,no,yes,no,yes,no,no,no
1642402078193198,Mangkok Mama Sri,[ Indonesia ],False,-6.904832000000001,107.620277," Nangkring Jl. Progo No. 34, Progo, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (11:00 - 22:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1642402078969346,Saranghaeyo BBQ,[ Korea ],False,-6.9083429999999995,107.628993," Jl. Cendana No. 16, Riau, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,3.97,3.8,4.0,4.0,4.0,4.0,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",no,no,yes,yes,no,yes,yes,yes,yes,no,no
164240208345514,Marema,[ Indonesia ],False,-6.905719,107.624301," Kedai Kuliner Jl. Taman Cibeunying Selatan No. 33, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (11:00 - 21:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1642402084442401,Si Obos,[ Indonesia ],False,-6.9070375,107.6201153," Hashtag Foodstation Jl. Lombok No. 47, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (11:00 - 22:00), Sabtu - Minggu (11:00 - 23:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402085241883,Gorengan dan Rujak Cireng,[ Indonesia ],False,-6.9062470000000005,107.614356," The Secret Factory Outlet, Secret Garden Jl. LLRE Martadinata No. 47, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (09:00 - 21:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1642402085989097,Kopi Kumai Express,[ Minuman ],False,-6.913860000000001,107.626122," Ten To Ten Cafe Jl. Gandapura No. 40, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (10:00 - 20:00),Tunai,not sure,not sure,not sure,not sure,no,yes,not sure,not sure,not sure,not sure,no
1642402086730092,Butcher's Bill,[ Barat ],False,-6.909445,107.62733," Jl. Taman Pramuka No. 165, Riau, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Kamis (10:00 - 22:00), Jumat - Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)","Tunai, Debet, Visa, Master",yes,no,yes,yes,no,yes,no,yes,no,no,no
1642402087428593,Baso Aci Kalimanjaro,[ Indonesia ],False,-6.916047,107.627776," Area 28 Jl. Soka No. 28, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,4.2,5.0,3.0,5.0,4.0,4.0,Senin - Minggu (10:00 - 21:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
164240208916173,Tofu Pudding,[ Puding ],False,-6.906685,107.612264," Riau Junction, Lantai 3, Foodlife Jl. LLRE Martadinata No. 17 - 21, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (09:00 - 22:00),"Tunai,Visa,Master,Debet",no,no,yes,no,no,yes,no,no,yes,no,no
