user_id,username,alpha_badge,review_count,account_level,badges
ruziqu_tajri,Ruziqu Tajri,no badge,2,1,no badge
dindalestari,Dinda Lestari,no badge,1,1,no badge
hanfauziyah,Han Fauziyah,no badge,49,7,no badge
fada_setiarini,jajankuyatbdg,no badge,11,3,no badge
AnggiP,AnggiP,no badge,1,1,no badge
pande_made_prajna_pradipa,Pande Pradipa,no badge,2,1,no badge
faizal_ramadhan,@faizalft,no badge,35,5,"Kopi,"
maya_hugeng,maya hugeng,no badge,558,13,"Kopi,Bakmi,Pizza,Pasta,Sushi,Dessert,Bubble Tea,"
EkaratedR,Eka M. Lestari,Alfa 2021,647,14,"Seafood,BBQ,Kopi,Bakmi,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
aprillia_sandra_diana,Diana Sandra,Alfa 2017,376,13,"Dimsum,Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,Bubble Tea,"
syifa_qurratu,syifa_qurratu,no badge,10,2,no badge
kuns_kurniawan,Kuns Kurniawan,no badge,3,1,no badge
memorykun,Agung prasetyo,no badge,168,10,"Kopi,Bubble Tea,"
Rizcha_noviyanti,Rizcha noviyanti,no badge,1,1,no badge
sopearliciousid,Mutiara,no badge,7,2,no badge
opiie_sofira,Opiie Sofira,no badge,13,3,no badge
chyntiayuliana,Chyntia Yuliana,no badge,2,1,no badge
vangalactic,Kuliner Keliling,no badge,140,10,"Kopi,Bakmi,"
agneeprajalasta,Agni Lastari,no badge,11,3,no badge
Chokie_lbs,Saya Laper,no badge,187,11,"Kopi,Bakmi,"
indranurhafidh,@bellystories (Indra Nurhafidh),Alfa 2017,160,11,"Kopi,Pasta,Dessert,"
maemteruz,Andry Tse (@maemteruz),Alfa 2021,376,12,"Kopi,Bakmi,Pizza,Dessert,Bubble Tea,"
nasya_latif,Nasya Latif,no badge,1,1,no badge
olivcrlin,olivcrlin,no badge,287,12,"Bakmi,Dessert,"
