SMAS MUHAMMADIYAH BATUDAA,40500461,Swasta,SMA,Yayasan,185.a.I.16.1/T 85,1985-07-18,-,-,Tidak ada,BRI,LIMBOTO,SMA Muhammadiyah Batudaa,7437,0,Bersedia Menerima,Sehari penuh (6 h/m),Belum Bersertifikat,PLN,3000,Telkomsel Flash,JL. HASANUDIN NO. 208,0 / 0,HUNGAYO TIMUR,PAYUNGA,Kec. Batudaa,Kab. Gorontalo,Prov. Gorontalo,96271,.5633000,122.9615000
SMAN 1 BILUHU,40500449,Negeri,SMA,Pemerintah Daerah,-,1900-01-01,-,-,Tidak ada,Bank SULUTGO,Bank SULUTGO Cabang LIMBOTO,Sma Negeri 1 Biluhu,15000,0,Bersedia Menerima,Sehari penuh (6 h/m),Belum Bersertifikat,PLN,5000,Telkomsel Flash,JL. BUKE PANAI,0 / 0,OTALANGA,Biluhu Tengah,Kec. Biluhu,Kab. Gorontalo,Prov. Gorontalo,96272,.4929000,122.8488000
SMAN 1 DUNGALIYO,40500451,Negeri,SMA,Pemerintah Daerah,13a/0/1998,1998-01-29,13a/0/1998,1998-01-29,Tidak ada,SULUT,CABANG LIMBOTO,SMAN 1 DUNGALIYO,15,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,15,Tidak Ada,JL. RAJA BOBIHOE,0 / 0,ANGGAGETA,DUNGALIYO,Kec. Dungaliyo,Kab. Gorontalo,Prov. Gorontalo,96271,.6010000,122.9020000
SMAN 1 LIMBOTO BARAT,40501855,Negeri,SMA,Pemerintah Daerah,505.a / 07 / VII / 2012,2012-06-27,505.a / 07 / VII / 2012,2012-06-27,Tidak ada,BANK SULUTGO,Cabang Limboto,SMA Negeri 1 Limboto Barat,17,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,16600,Tidak Ada,JL. ichsan Suratinoyo,0 / 0,-,Ombulo,Kec. Limboto Barat,Kab. Gorontalo,Prov. Gorontalo,96216,.6450000,122.9174000
SMAN 1 TELAGA,40500455,Negeri,SMA,Pemerintah Daerah,505.a/07/VII/2012,2012-07-27,505.a/07/VII/2012,2012-07-27,Tidak ada,BANK SULUTGO,CABANG PEMBANTU TELAGA,SMA NEGERI 1 TELAGA,10000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,13000,Lainnya,JL. ACHMAD A. WAHAB NO. 10,0 / 0,Dusun 1,Mongolato,Kec. Telaga,Kab. Gorontalo,Prov. Gorontalo,96181,.5821000,123.0394000
SMAN 1 TIBAWA,40500457,Negeri,SMA,Pemerintah Daerah,505.a/07/VII/2012,2012-06-07,505.a/07/VII/2012,2012-06-07,Tidak ada,BANK SULUTGO,Limboto,SMA Negeri 1 Tibawa,13956,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,10600,Tidak Ada,JL. L. PALALU NO. 5,0 / 0,-,Isimu Utara,Kec. Tibawa,Kab. Gorontalo,Prov. Gorontalo,96251,.6486000,122.8750000
SMAS MUHAMMADIYAH TOLANGOHULA,40500460,Swasta,SMA,Yayasan,05/KEP/IV.0/B/2002,2002-05-27,-,-,Tidak ada,SULUTGO,Cabang Tolangohula,SMA Muh. Tolangohula,4,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,2200,Tidak Ada,JL. PT. RAJAWALI NO. 31,0 / 0,Subur makmur,SUKA MAKMUR,Kec. Tolangohula,Kab. Gorontalo,Prov. Gorontalo,96261,.6994000,122.5604000
SMA NEGERI 10 GORONTALO UTARA,69880251,Negeri,SMA,Pemerintah Daerah,188 Tahun 2014,1900-01-01,188 Tahun 2014,2014-09-08,Tidak ada,BANK SULUTGO,KWANDANG,BOS SMAN X GORUT,2500,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,Tidak Ada,Jl. Trans Sulawesi,0 / 0,Tenilo,Biau,Kec. Biau,Kab. Gorontalo Utara,Prov. Gorontalo,96255,.9913000,122.2130000
SMA NEGERI 5 GORONTALO UTARA,40501795,Negeri,SMA,Pemerintah Pusat,420/Dikpora-Kab/Dikmenti/969/VIII/2015,2015-08-20,420/Dikpora-Kab/Dikmenti/969/VIII/2015,2015-08-20,Tidak ada,BANK SULUT,Kwandang,BOS SMAN V GORUT,10000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,11850,Telkomsel Flash,Jl. Kusnodanupodjo No. 116,0 / 0,Mootinelo,Mootinelo,Kec. Kwandang,Kab. Gorontalo Utara,Prov. Gorontalo,96252,.7917660,122.9492380
SMA NEGERI 2 GORONTALO UTARA,40500454,Negeri,SMA,Pemerintah Daerah,-,1997-01-01,-,1997-01-01,Tidak ada,BANK SULUT,KWANDANG,BOS SMAN II GORUT,12381,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,3500,Telkomsel Flash,JL. SUPARTO,0 / 0,Diambu 1,Bulontio Timur,Kec. Sumalata,Kab. Gorontalo Utara,Prov. Gorontalo,96254,.9823000,122.4218000
SMAN 1 BUNTULIA,40502029,Negeri,SMA,Pemerintah Daerah,306 TAHUN 2008,2008-12-30,306 TAHUN 2008,2008-12-30,Tidak ada,Bank SulutGo,Marisa,SMA Negeri 1 Buntulia,4500,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,6600,Tidak Ada,JL. KAWAH NO. 125,0 / 0,Sipatana,SIPATANA,Kec. Buntulia,Kab. Pohuwato,Prov. Gorontalo,96266,.4811000,121.9293000
SMAN 1 PAGUAT,40500760,Negeri,SMA,Pemerintah Daerah,800/Dikbudpora/511/Sek/VII/2016,2016-07-27,301/236/042/IMB/KPTSP-PM/II/2015,2015-02-24,Tidak ada,SULUTGO,Capem Paguat,BOS SMA Negeri 1 Paguat,17600,10000,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,11300,Telkomsel Flash,JL. TRANS SULAWESI,0 / 0,Buhu,BUHU JAYA,Kec. Paguat,Kab. Pohuwato,Prov. Gorontalo,96265,.4845000,122.0570000
SMAN 1 RANDANGAN,40501649,Negeri,SMA,Pemerintah Daerah,-,-,-,-,Tidak ada,BNI,Marisa/Gorontalo,SMAN 1 Randangan,15,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,8500,Tidak Ada,DESA MOTOLUHU,0 / 0,Sigatange Selatan,MOTOLOHU,Kec. Randangan,Kab. Pohuwato,Prov. Gorontalo,96268,.5257000,121.8019000
SMA ISLAM TERPADU MOOSALAMATI,69982308,Swasta,SMA,Yayasan,188.4/DIKBUDPORA/2023/SEK/2017,2017-03-12,188.4/DIKBUDPORA/2023/SEK/2017,2017-03-12,Tidak ada,SULUTGO,PASAR SENTRAL,SMA Islam Terpadu Moosalamati,1900,300,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Tidak Ada,Jalan Kancil No. 56,2 / 3,-,Buliide,Kec. Kota Barat,Kota Gorontalo,Prov. Gorontalo,96133,.5460000,123.0354000
SMAS MUHAMMADIYAH GTLO,40501102,Swasta,SMA,Yayasan,500/II-005/Sw.U-64/1977,1964-08-01,185.a/I 16.1/T.85,1985-07-18,Tidak ada,BANK SULUT,Bank SULUT Cabang Pembantu Pasar Sentral,SMA MUHAMMADIYAH GORONTALO,1024,0,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,1350,Tidak Ada,JL. diponegoro,1 / 1,-,Limba U Satu,Kec. Kota Selatan,Kota Gorontalo,Prov. Gorontalo,96115,.5428883,123.0571583
SMAN 4 GORONTALO,40501068,Negeri,SMA,Pemerintah Daerah,800/Diknas/TU/3454,1901-01-01,800/Diknas/TU/3454,1900-01-01,Tidak ada,BNI 46,Cabang Gorontalo,SMA Negeri 4 Gorontalo,0,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,13000,Telkom Astinet,JL. BRIGJEN PIOLA ISA,1 / 3,-,WONGKADITI TIMUR,Kec. Kota Utara,Kota Gorontalo,Prov. Gorontalo,96122,.5633498,123.0854059
